"#ethane_angleminus_drproject_C1-C2.txt"
"dr.e1","dr.e2","dr.e3","moddr"
-0.0004588938445450606,-1.231649472187823e-05,7.15714385666956e-06,0.00045911489
-0.0004569597509371398,-1.2130131168168699e-05,2.130710045571714e-05,0.00045793661
-0.00045468354327661645,-1.2026764499776869e-05,3.548519482931606e-05,0.00045713445
-0.00045180241400000556,-1.1930183547151547e-05,4.968946293055181e-05,0.00045531241
-0.0004481375310973551,-1.173672678031811e-05,6.392890211576368e-05,0.00045357197
-0.0004435317852788466,-1.132499050856774e-05,7.808731970322322e-05,0.0004520336
-0.0004379390489669149,-1.0774788619741154e-05,9.21764989141623e-05,0.00044851753
-0.00043140077775512487,-1.0072224566488719e-05,0.00010610778143738352,0.00044522493
-0.00042406631868002694,-9.19268206859182e-06,0.00011994777026731809,0.00044103266
-0.00041599114719257784,-7.995810433372145e-06,0.00013357790599403152,0.00043820914
-0.00040712259638407667,-6.497825865145449e-06,0.00014710333486377225,0.00043390909
-0.0003974295753903673,-4.730918960827401e-06,0.00016042186016911028,0.00042891481
-0.0003868489480396782,-2.758602121923791e-06,0.0001735713356022646,0.00042549874
-0.0003754905350463222,-4.967580016281766e-07,0.00018638864685624346,0.00041999256
-0.0003633341339653081,2.126519621327169e-06,0.00019897556369233621,0.00041462559
-0.00035050411579597775,5.2137822322850654e-06,0.00021130477602244273,0.00040994188
-0.0003369766372715944,8.754927703040506e-06,0.00022340943879144119,0.0004055573
-0.00032280426409390955,1.2753474613006155e-05,0.00023512388763750563,0.00040005818
-0.0003079619765117043,1.7138091487099493e-05,0.0002464046907424196,0.00039545868
-0.00029244115280531793,2.1912795832125223e-05,0.0002571881202417341,0.00039148323
-0.00027629221929472645,2.7099179870008823e-05,0.0002675657102694736,0.0003855896
-0.0002595334277863593,3.280712575571965e-05,0.00027754568719484527,0.00038214822
-0.00024225534939587587,3.906751556135527e-05,0.0002871272532252762,0.00037816184
-0.0002244434565388816,4.5898191016973696e-05,0.00029614588672102234,0.00037548918
-0.00020619738027711427,5.3217578017441516e-05,0.0003044844304090045,0.00037267409
-0.00018757462598700952,6.103288378306103e-05,0.00031215629337829286,0.00036914902
-0.000168686957517715,6.933094305365375e-05,0.00031921278803648387,0.00036815567
-0.00014952150861932714,7.815823347428562e-05,0.00032566153659833904,0.00036765745
-0.00013007382745239745,8.75093037263618e-05,0.0003313758704843138,0.00036739407
-0.00011035052876101869,9.738702672053717e-05,0.0003362833945882337,0.00036781594
-9.045578050543395e-05,0.00010778319797478778,0.00034038788573324927,0.00036854582
-7.050613863292161e-05,0.00011870511055135614,0.0003436497219869318,0.00037123086
-5.0571621911095173e-05,0.00013008039941159505,0.00034603069605632563,0.00037392827
-3.0626721017432304e-05,0.0001419157238628769,0.00034737756267701333,0.00037734868
-1.0671785095703351e-05,0.0001541325710988079,0.0003477244650377049,0.00038129373
